H1,Er1,W1,W2,T1,Zo
6.7,3.2,4,3.5,0.7,96.2699
6.8,3.2,4,3.5,0.7,96.8454
6.9,3.2,4,3.5,0.7,97.4148
7,3.2,4,3.5,0.7,97.9901
7.1,3.2,4,3.5,0.7,98.5446
7.2,3.2,4,3.5,0.7,99.0919
7.3,3.2,4,3.5,0.7,99.6468
7.4,3.2,4,3.5,0.7,100.1802
7.5,3.2,4,3.5,0.7,100.7069
7.6,3.2,4,3.5,0.7,101.2262
7.7,3.2,4,3.5,0.7,101.74
7.8,3.2,4,3.5,0.7,102.2476
7.9,3.2,4,3.5,0.7,102.7634
8,3.2,4,3.5,0.7,103.2592
8.1,3.2,4,3.5,0.7,103.7492
8.2,3.2,4,3.5,0.7,104.2336
8.3,3.2,4,3.5,0.7,104.7115
8.4,3.2,4,3.5,0.7,105.1849
8.5,3.2,4,3.5,0.7,105.653
8.6,3.2,4,3.5,0.7,106.1276
8.7,3.2,4,3.5,0.7,106.599
8.8,3.2,4,3.5,0.7,107.0209
8.9,3.2,4,3.5,0.7,107.4848
9,3.2,4,3.5,0.7,107.9283
9.1,3.2,4,3.5,0.7,108.3671
9.2,3.2,4,3.5,0.7,108.8013
9.3,3.2,4,3.5,0.7,109.2296
9.4,3.2,4,3.5,0.7,109.6549
9.5,3.2,4,3.5,0.7,110.076
9.6,3.2,4,3.5,0.7,110.493
9.7,3.2,4,3.5,0.7,110.9058
9.8,3.2,4,3.5,0.7,111.3146
9.9,3.2,4,3.5,0.7,111.7345
10,3.2,4,3.5,0.7,112.1433
10.1,3.2,4,3.5,0.7,112.5405
10.2,3.2,4,3.5,0.7,112.9339
10.3,3.2,4,3.5,0.7,113.3237
10.4,3.2,4,3.5,0.7,113.7099
10.5,3.2,4,3.5,0.7,114.0926
10.6,3.2,4,3.5,0.7,114.4683
10.7,3.2,4,3.5,0.7,114.8441
10.8,3.2,4,3.5,0.7,115.2149
10.9,3.2,4,3.5,0.7,115.5982
11,3.2,4,3.5,0.7,115.9641
11.1,3.2,4,3.5,0.7,116.3269
11.2,3.2,4,3.5,0.7,116.6866
11.3,3.2,4,3.5,0.7,117.0432
11.4,3.2,4,3.5,0.7,117.3968
11.5,3.2,4,3.5,0.7,117.7534
11.6,3.2,4,3.5,0.7,118.101
11.7,3.2,4,3.5,0.7,118.4458
11.8,3.2,4,3.5,0.7,118.7878
11.9,3.2,4,3.5,0.7,119.127
12,3.2,4,3.5,0.7,119.4767
12.1,3.2,4,3.5,0.7,119.8106
12.2,3.2,4,3.5,0.7,120.1418
12.3,3.2,4,3.5,0.7,120.4689
12.4,3.2,4,3.5,0.7,120.7949
12.5,3.2,4,3.5,0.7,121.1184
12.6,3.2,4,3.5,0.7,121.4394
12.7,3.2,4,3.5,0.7,121.7579
12.8,3.2,4,3.5,0.7,122.0741
